x,y,Cluster_ID
10.3031,-1.3484807,8
10.736735,-1.2182603,8
10.546886,-0.28619894,8
10.672729,-0.30678344,8
11.257868,-0.36303958,8
10.327974,0.48981035,8
10.630931,0.57358396,8
11.096309,0.7630698,8
11.3431635,2.0952814,8
11.208189,2.80807,8
11.566284,3.1691794,8
11.499555,3.487032,8
12.244594,3.725596,8
12.981023,4.5531216,8
13.28847,5.103077,8
13.854253,6.0092955,8
44.014133,12.875532,8
44.15156,13.247688,8
44.451557,14.433628,3
44.401497,14.986082,3
43.64308,17.525427,3
43.548065,18.296503,3
43.575546,19.036392,3
43.48436,20.12154,3
44.871338,19.62662,3
45.705795,19.111359,3
26.152514,11.494715,3
26.456848,11.590613,3
29.789268,13.53142,3
30.567438,13.487513,3
31.89899,14.323732,3
34.978542,17.851322,3
36.126656,18.842077,3
39.94457,20.90437,3
38.032455,24.052052,3
37.442135,24.336763,3
30.139618,16.353453,3
30.43398,15.853186,3
30.746227,15.286863,3
31.587328,13.903048,3
34.065105,17.208004,3
36.849747,19.393988,3
41.516182,21.055077,3
42.000034,21.524761,3
42.832947,21.16275,3
42.377354,20.439949,3
28.22906,12.348671,3
29.153961,11.866722,3
29.596548,11.835749,3
30.883507,12.28333,8
32.04502,13.226724,3
35.944992,18.030035,3
38.846317,20.599691,3
39.937744,23.07028,3
40.605694,23.9218,3
40.456875,24.811602,3
40.16223,26.045547,3
38.164246,26.325306,3
19.568666,27.224653,3
19.445148,26.35928,3
22.037706,21.396975,3
22.460632,21.139328,3
23.033796,21.039299,3
24.911562,20.475056,3
25.410765,19.124512,3
25.439137,18.137375,3
33.683308,-18.371468,3
33.759014,-18.615694,0
34.235405,-20.385077,0
34.40034,-21.51314,0
31.723534,-25.761751,0
30.468073,-26.318495,0
30.304642,-26.324001,0
31.72451,8.02414,8
31.746845,8.74569,8
31.733862,9.23027,8
31.955795,10.523877,8
32.76732,12.259003,3
37.05439,17.932476,3
37.92211,19.379723,3
40.45687,22.550959,3
39.97789,24.731508,3
39.409462,25.512497,3
37.698624,26.31382,3
23.269459,28.347086,3
23.14481,26.918798,3
23.521189,26.15756,3
24.141096,25.670206,3
24.576271,25.450785,3
27.49609,21.757187,3
28.84187,21.318172,3
30.224003,21.222155,3
31.079025,21.02925,3
31.300144,20.752123,3
31.393316,20.243063,3
31.154188,19.7475,3
25.590063,-2.6408753,8
25.635733,-4.0443087,8
25.575195,-4.795575,8
25.082006,-6.0129194,8
23.836946,-6.1841273,8
22.635662,-6.188272,8
22.134058,-5.9133987,8
21.906096,-5.541415,8
21.84237,-4.7958007,8
21.722923,-4.0332828,8
21.687195,-3.4128964,8
34.928814,13.587587,8
36.15694,14.709505,3
